Epochen,Hidden_Size,Num_Layers,Final_Loss,Learning_Rate,MAE,RMSE,sMAPE,MAE Original,RMSE Original,sMAPE Original
93,60,2,0.0022820404,0.006901845512093896,0.03905868,0.053831283,,94.28765,129.94872,
140,74,1,0.0018342324,0.00548414007546149,0.036649216,0.049731076,,88.47121,120.05082,
125,39,1,0.0022012817,0.005617501003748153,0.036395513,0.050704766,,87.858765,122.40131,
144,33,3,0.0016075746,0.005855842757714159,0.035301317,0.049614947,,85.217384,119.770485,
56,35,1,0.00522961,0.006364221136935814,0.054103144,0.07083901,,130.605,171.00536,
87,66,3,0.0026443703,0.0063846760674132995,0.042533785,0.057943083,,102.67656,139.8746,
70,62,3,0.003218093,0.008456887351886894,0.04503244,0.060176384,,108.708305,145.2658,
147,56,3,0.0018672668,0.0057028218145546315,0.036229763,0.05009629,,87.45864,120.93244,
91,57,2,0.0028093448,0.005851894042486632,0.0413089,0.056260284,,99.71969,135.81233,
103,49,1,0.002751029,0.005670458818716307,0.041169364,0.056113884,,99.38283,135.45892,
118,45,3,0.0024890855,0.0050187278603097945,0.041303374,0.05654055,,99.70634,136.48888,
147,79,2,0.0017545006,0.005122583786892911,0.03779391,0.05201835,,91.23449,125.5723,
130,77,2,0.0018439806,0.005023650467716746,0.03665376,0.05126797,,88.48218,123.76088,
150,71,2,0.001659279,0.00502257265341091,0.034377035,0.048041876,,82.98615,115.97309,
116,31,2,0.0024032209,0.0061697118679334365,0.03841412,0.05224721,,92.73169,126.12476,
135,69,3,0.0016337152,0.005353620830812712,0.037380964,0.052568186,,90.23765,126.899605,
133,49,3,0.0022436187,0.006918635727599108,0.03847803,0.053047225,,92.88596,128.056,
112,66,3,0.002960962,0.005906496601822499,0.039593153,0.054222204,,95.57787,130.89241,
136,42,3,0.0017383252,0.005258859132265761,0.0361679,0.050926022,,87.30931,122.93542,
103,51,3,0.0024511956,0.005435286409842378,0.04144505,0.056650463,,100.04835,136.75423,
123,68,3,0.0017028409,0.005372441579548648,0.037366915,0.052817166,,90.20373,127.50064,
149,72,2,0.0015864362,0.0053453342573316,0.034059726,0.0480367,,82.22017,115.960594,
140,73,2,0.0020537856,0.005285430071295746,0.035361636,0.049461335,,85.36299,119.399666,
142,80,2,0.0018247145,0.006015423103722212,0.035163388,0.048819706,,84.88442,117.85077,
131,62,3,0.0026217133,0.00551137954388496,0.03942999,0.053210516,,95.18399,128.4502,
150,69,2,0.0017327971,0.0053302413057454145,0.033784136,0.0475906,,81.5549,114.8837,
80,75,3,0.0017897966,0.005752509103964,0.04065645,0.056354005,,98.144684,136.03857,
109,30,2,0.002550699,0.00608582927960788,0.03726241,0.05079397,,89.95147,122.61664,
124,64,3,0.0021844315,0.005203896717541747,0.039041884,0.0544082,,94.24711,131.3414,
142,60,1,0.0018756983,0.005565107682552109,0.036222756,0.05139264,,87.44174,124.06184,
135,52,2,0.0019117729,0.005255637214064292,0.035655823,0.04994574,,86.07316,120.56902,
150,71,2,0.0017379164,0.00508541052199218,0.0341275,0.04818796,,82.38378,116.325745,
142,72,2,0.0015901702,0.005015638520529932,0.033351455,0.04609184,,80.51041,111.2657,
141,75,2,0.0015288302,0.005457249003224353,0.03385402,0.047862537,,81.7236,115.54016,
142,76,2,0.0019784344,0.005533605094579089,0.035624366,0.049367223,,85.99722,119.17247,
126,37,1,0.0023314487,0.005525575129714195,0.03884154,0.053910896,,93.76349,130.14091,
139,74,2,0.001619531,0.005723176920069193,0.035533287,0.049660582,,85.77736,119.880646,
144,78,1,0.0015041799,0.005446289975044725,0.036913052,0.05038715,,89.10812,121.634575,
61,78,1,0.003881707,0.005238359732925094,0.048652876,0.06481003,,117.44803,156.4514,
126,72,1,0.0021279643,0.005161622176201943,0.035755776,0.04968463,,86.314445,119.9387,
